iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
1,814.7546858730886,814.7546858730886,814.7546858730886,True,True,cascade_aware_removal,best_mode_repair,1000.0,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,142.67717304531118,83.67717304531118,59.0,343.8510832435383,5.851083243538332,338.0,84.05514486230004,95.63105490892706,112.52083160650639,16.223957628547474,1,1,1,1,2,4,54.71325436866372,54.71325436866372,0.0,814.7546858730886,84.39062370487977,0.0,0.0,0.0,True,True,[]
2,823.1761343188819,823.1761343188819,814.7546858730886,True,True,random_customer_removal,cascade_repair,999.5,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,151.99661518411745,92.99661518411746,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,106.28184592470566,95.25172212548792,13.79196387397777,1,1,1,1,2,3,46.31614988351852,46.31614988351852,0.0,823.1761343188819,71.43879159411597,0.0,0.0,0.0,True,True,[]
3,823.1761343188819,10821.202514322515,814.7546858730886,False,False,random_customer_removal,best_mode_repair,999.00025,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,147.7438794978167,88.7438794978167,59.0,345.23220524045826,7.232205240458274,338.0,84.05514486230004,101.42157656893338,139.08087000881295,15.696771309874862,1,1,1,1,2,5,79.24137420297157,79.24137420297157,10000.0,10821.202514322515,122.22319928478905,0.0,0.0,0.0,True,False,['drone_id drone_0 continues after recovery at warehouse node 3.']
4,823.1761343188819,823.1761343188819,814.7546858730886,True,True,drone_task_removal,cascade_repair,998.5007498750001,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,151.99661518411745,92.99661518411746,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,106.28184592470566,95.25172212548792,13.79196387397777,1,1,1,1,2,3,46.31614988351852,46.31614988351852,0.0,823.1761343188819,71.43879159411597,0.0,0.0,0.0,True,True,[]
5,823.1761343188819,823.1761343188819,814.7546858730886,True,True,route_segment_removal,greedy_van_repair,998.0014995000627,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,151.99661518411745,92.99661518411746,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,106.28184592470566,95.25172212548792,13.79196387397777,1,1,1,1,2,3,46.31614988351852,46.31614988351852,0.0,823.1761343188819,71.43879159411597,0.0,0.0,0.0,True,True,[]
6,823.1761343188819,70820.94327848298,814.7546858730886,False,False,cascade_aware_removal,greedy_drone_repair,997.5024987503127,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,141.6287064261126,82.62870642611259,59.0,351.08814247263007,13.08814247263009,338.0,84.05514486230004,94.43280734412868,251.69504755057866,24.594431944979828,1,1,1,1,2,6,194.79520229838224,194.79520229838224,70000.0,70820.94327848298,300.4553248818235,0.0,0.0,2.0,True,False,"['customer 12 service_start 363.662 exceeds latest 360.000.', 'customer 5 service_start 376.406 exceeds latest 360.000.', 'drone_id drone_0 continues after recovery at warehouse node 3.', 'drone_id drone_0 continues after recovery at warehouse node 3.', 'drone_id drone_0 continues after recovery at warehouse node 3.', 'drone_id drone_0 departs from warehouse 3 times.', 'drone_id drone_0 returns to warehouse 3 times.']"
7,823.1761343188819,40658.73926471815,814.7546858730886,False,False,cascade_aware_removal,greedy_van_repair,997.0037475009376,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,160.2557468127532,101.25574681275319,59.0,170.2570883211564,1.2570883211564141,169.0,84.05514486230004,115.72085350028937,24.17477540685412,2.3207784390579955,1,1,1,1,1,1,11.75498454158283,11.75498454158283,40000.0,40658.73926471815,18.13108155514061,0.0,0.0,0.0,True,False,"['unassigned customers remain: [8, 11, 14]', 'high-floor customer 8 must be served by drone.', 'high-floor customer 11 must be served by drone.', 'high-floor customer 14 must be served by drone.']"
8,823.1761343188819,120892.37341646914,814.7546858730886,False,False,switch_transshipment_operator,greedy_drone_repair,996.5052456271872,394.24917058229835,228.24917058229835,166.0,228.24917058229835,0.0,139.2912316972766,80.2912316972766,59.0,358.83301418957006,20.833014189570065,338.0,118.26381895455873,91.7614076540304,400.6348882609628,37.80092609986552,1,1,1,1,2,9,831.0943083821205,831.0943083821205,120000.0,120892.37341646914,1281.8935347796203,0.0,0.0,3.0,True,False,"['customer 7 service_start 474.768 exceeds latest 360.000.', 'customer 13 service_start 368.659 exceeds latest 360.000.', 'customer 14 service_start 392.598 exceeds latest 360.000.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 continues after recovery at warehouse node 4.', 'drone_id drone_4 departs from warehouse 8 times.', 'drone_id drone_4 returns to warehouse 8 times.']"
9,823.1761343188819,20810.783689135245,814.7546858730886,False,False,related_customer_removal,best_mode_repair,996.0069930043736,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,137.3068936517928,78.30689365179279,59.0,345.25036589921297,7.25036589921297,338.0,84.05514486230004,89.49359274490605,139.43011344640328,18.938622705659505,1,1,1,1,2,5,67.79789266331365,67.79789266331365,20000.0,20810.783689135245,104.57258508480254,0.0,0.0,0.0,True,False,"['drone_id drone_0 continues after recovery at warehouse node 3.', 'drone_id drone_1 continues after recovery at warehouse node 3.']"
10,823.1761343188819,823.1761343188819,814.7546858730886,True,True,random_customer_removal,best_mode_repair,995.5089895078714,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,151.99661518411745,92.99661518411746,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,106.28184592470566,95.25172212548792,13.79196387397777,1,1,1,1,2,3,46.31614988351852,46.31614988351852,0.0,823.1761343188819,71.43879159411597,0.0,0.0,0.0,True,True,[]
