iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible
1,20379.387409155748,20379.387409155748,20379.387409155748,False,False,cascade_aware_removal,best_mode_repair,1000.0,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
2,20379.387409155748,30379.2913147402,20379.387409155748,False,False,drone_task_removal,greedy_van_repair,999.5,240.1799225814728,74.17992258147278,166.0,139.11139215872794,80.11139215872795,59.0,0.0,0.0,0.0,38.435193047395224,91.55587675283195,0.0,0.0,1,1,0,0,0.0,0.0,30000.0,30379.2913147402,0.0,0.0,0.0,0.0,True,False
3,20379.387409155748,10592.117430749982,20379.387409155748,False,False,switch_transshipment_operator,regret_repair,999.00025,269.3022467039268,103.3022467039268,166.0,149.2267155862462,90.22671558624619,59.0,173.5884684598089,4.588468459808895,169.0,53.524480157475026,103.11624638428135,88.23977807324799,9.517385163559943,1,1,1,2,42.906592088116845,42.906592088116845,10000.0,10592.117430749982,66.17983355493601,0.0,0.0,0.0,True,False
4,20379.387409155748,30379.2913147402,20379.387409155748,False,False,cascade_aware_removal,greedy_van_repair,998.5007498750001,240.1799225814728,74.17992258147278,166.0,139.11139215872794,80.11139215872795,59.0,0.0,0.0,0.0,38.435193047395224,91.55587675283195,0.0,0.0,1,1,0,0,0.0,0.0,30000.0,30379.2913147402,0.0,0.0,0.0,0.0,True,False
5,20379.387409155748,20379.387409155748,20379.387409155748,False,False,related_customer_removal,cascade_repair,998.0014995000627,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
6,20379.387409155748,20379.387409155748,20379.387409155748,False,False,drone_task_removal,cascade_repair,997.5024987503127,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
7,20379.387409155748,20379.387409155748,20379.387409155748,False,False,greedy_removal,best_mode_repair,997.0037475009376,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
8,20379.387409155748,20379.387409155748,20379.387409155748,False,False,random_customer_removal,cascade_repair,996.5052456271872,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
9,20379.387409155748,10545.295719774856,20379.387409155748,False,False,drone_task_removal,regret_repair,996.0069930043736,240.1799225814728,74.17992258147278,166.0,134.9547508879756,75.95475088797559,59.0,170.16104630540792,1.1610463054079148,169.0,38.435193047395224,86.80542958625782,22.327813565536825,2.7714398588222586,1,1,1,1,10.856899346242283,10.856899346242283,10000.0,10545.295719774856,16.745860174152625,0.0,0.0,0.0,True,False
10,20379.387409155748,10551.132002660088,20379.387409155748,False,False,switch_transshipment_operator,cascade_repair,995.5089895078714,269.3022467039268,103.3022467039268,166.0,103.98989296060434,44.98989296060434,59.0,177.83986299555596,8.839862995555958,169.0,53.524480157475026,51.417020526404954,169.99736529915305,14.591962832450953,1,1,1,3,82.66121887671314,82.66121887671314,10000.0,10551.132002660088,127.49802397436474,0.0,0.0,0.0,True,False
11,20379.387409155748,20379.387409155748,20379.387409155748,False,False,cascade_aware_removal,greedy_van_repair,995.0112350131176,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
12,20379.387409155748,20379.387409155748,20379.387409155748,False,False,route_segment_removal,greedy_van_repair,994.5137293956111,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
13,20379.387409155748,20379.387409155748,20379.387409155748,False,False,drone_task_removal,regret_repair,994.0164725309133,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
14,20379.387409155748,20591.263801090485,20379.387409155748,False,False,switch_transshipment_operator,greedy_drone_repair,993.519464294648,269.3022467039268,103.3022467039268,166.0,149.63017424790604,90.63017424790604,59.0,172.3313801386525,3.331380138652481,169.0,53.524480157475026,103.57734199760691,64.06500266639387,7.952068455966138,1,1,1,1,31.151607546534017,31.151607546534017,20000.0,20591.263801090485,48.0487519997954,0.0,0.0,0.0,True,False
15,20379.387409155748,20379.387409155748,20379.387409155748,False,False,random_customer_removal,best_mode_repair,993.0227045625006,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
16,20379.387409155748,20379.387409155748,20379.387409155748,False,False,greedy_removal,regret_repair,992.5261932102194,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
17,20379.387409155748,20379.387409155748,20379.387409155748,False,False,route_segment_removal,cascade_repair,992.0299301136143,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
18,20379.387409155748,10545.295719774856,20379.387409155748,False,False,related_customer_removal,cascade_repair,991.5339151485576,240.1799225814728,74.17992258147278,166.0,134.9547508879756,75.95475088797559,59.0,170.16104630540792,1.1610463054079148,169.0,38.435193047395224,86.80542958625782,22.327813565536825,2.7714398588222586,1,1,1,1,10.856899346242283,10.856899346242283,10000.0,10545.295719774856,16.745860174152625,0.0,0.0,0.0,True,False
19,20379.387409155748,10549.548403061357,20379.387409155748,False,False,cascade_aware_removal,greedy_drone_repair,991.0381481909834,240.1799225814728,74.17992258147278,166.0,139.11139215872794,80.11139215872795,59.0,170.2570883211564,1.2570883211564141,169.0,38.435193047395224,91.55587675283195,24.17477540685412,1.5653167075938041,1,1,1,1,11.75498454158283,11.75498454158283,10000.0,10549.548403061357,18.13108155514061,0.0,0.0,0.0,True,False
20,20379.387409155748,20379.387409155748,20379.387409155748,False,False,drone_task_removal,greedy_van_repair,990.542629116888,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
21,20379.387409155748,20379.387409155748,20379.387409155748,False,False,greedy_removal,greedy_van_repair,990.0473578023295,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
22,20379.387409155748,20379.387409155748,20379.387409155748,False,False,cascade_aware_removal,regret_repair,989.5523341234284,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
23,20379.387409155748,10545.295719774856,20379.387409155748,False,False,cascade_aware_removal,best_mode_repair,989.0575579563667,240.1799225814728,74.17992258147278,166.0,134.9547508879756,75.95475088797559,59.0,170.16104630540792,1.1610463054079148,169.0,38.435193047395224,86.80542958625782,22.327813565536825,2.7714398588222586,1,1,1,1,10.856899346242283,10.856899346242283,10000.0,10545.295719774856,16.745860174152625,0.0,0.0,0.0,True,False
24,20379.387409155748,20379.387409155748,20379.387409155748,False,False,route_segment_removal,greedy_van_repair,988.5630291773886,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
25,20379.387409155748,20379.387409155748,20379.387409155748,False,False,drone_task_removal,best_mode_repair,988.0687476627999,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
26,20379.387409155748,20379.387409155748,20379.387409155748,False,False,route_segment_removal,regret_repair,987.5747132889685,240.1799225814728,74.17992258147278,166.0,139.20748657427634,80.20748657427634,59.0,0.0,0.0,0.0,38.435193047395224,91.6656989420301,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20379.387409155748,0.0,0.0,0.0,0.0,True,False
