section,row_type,item_id,field,value
problem_settings,setting,num_orders,num_orders,10
problem_settings,setting,num_customers,num_customers,10
problem_settings,setting,num_containers,num_containers,1
problem_settings,setting,num_transshipments,num_transshipments,2
problem_settings,setting,candidate_transshipment_nodes,candidate_transshipment_nodes,"[2, 3]"
problem_settings,setting,owned_num_trucks,owned_num_trucks,1
problem_settings,setting,warehouse_num_vans,warehouse_num_vans,"{2: 2, 3: 2}"
problem_settings,setting,drones_per_van,drones_per_van,2
problem_settings,setting,warehouse_num_drones,warehouse_num_drones,"{2: 4, 3: 4}"
problem_settings,setting,owned_num_vans,owned_num_vans,4
problem_settings,setting,owned_num_drones,owned_num_drones,8
problem_settings,setting,van_home,van_home,"{'van_0': 2, 'van_1': 2, 'van_2': 3, 'van_3': 3}"
problem_settings,setting,drone_initial_carrier,drone_initial_carrier,"{'drone_0': 'van_0', 'drone_1': 'van_0', 'drone_2': 'van_1', 'drone_3': 'van_1', 'drone_4': 'van_2', 'drone_5': 'van_2', 'drone_6': 'van_3', 'drone_7': 'van_3'}"
problem_settings,setting,drone_home_warehouse,drone_home_warehouse,"{'drone_0': 2, 'drone_1': 2, 'drone_2': 2, 'drone_3': 2, 'drone_4': 3, 'drone_5': 3, 'drone_6': 3, 'drone_7': 3}"
problem_settings,setting,used_trucks,used_trucks,1
problem_settings,setting,used_vans,used_vans,2
problem_settings,setting,used_drones,used_drones,1
problem_settings,setting,used_drone_sorties,used_drone_sorties,1
problem_settings,setting,number_of_same_van_sorties,number_of_same_van_sorties,0
problem_settings,setting,number_of_cross_van_sorties,number_of_cross_van_sorties,1
problem_settings,setting,number_of_multi_customer_sorties,number_of_multi_customer_sorties,0
problem_settings,setting,active_vans_for_routes_png,active_vans_for_routes_png,"['van_0', 'van_1']"
problem_settings,setting,inactive_vans_not_plotted,inactive_vans_not_plotted,[]
problem_settings,setting,distance_metric,distance_metric,Euclidean distance
problem_settings,setting,ground_distance_factor,ground_distance_factor,1.0
problem_settings,setting,tractor_speed_kmph,tractor_speed_kmph,30.0
problem_settings,setting,van_speed_kmph,van_speed_kmph,40.0
problem_settings,setting,drone_speed_kmph,drone_speed_kmph,80.0
problem_settings,setting,van_capacity_kg,van_capacity_kg,500.0
problem_settings,setting,drone_capacity_kg,drone_capacity_kg,30.0
problem_settings,setting,drone_endurance_km,drone_endurance_km,90.0
problem_settings,setting,drone_battery_capacity_kwh,drone_battery_capacity_kwh,13.8
problem_settings,setting,drone_payload_energy_coeff_rou,drone_payload_energy_coeff_rou,0.5
problem_settings,setting,drone_base_energy_coeff_rou1,drone_base_energy_coeff_rou1,0.18
problem_settings,setting,drone_self_weight_kg,drone_self_weight_kg,5.0
problem_settings,setting,tractor_cost_per_km,tractor_cost_per_km,1.93
problem_settings,setting,van_cost_per_km,van_cost_per_km,0.875
problem_settings,setting,drone_cost_per_km,drone_cost_per_km,0.052
problem_settings,setting,tractor_fixed_cost,tractor_fixed_cost,166.0
problem_settings,setting,van_fixed_cost,van_fixed_cost,59.0
problem_settings,setting,drone_fixed_cost,drone_fixed_cost,169.0
problem_settings,setting,default_time_window,default_time_window,"(0.0, 360.0)"
problem_settings,setting,customer_service_time_min,customer_service_time_min,0.0
problem_settings,setting,low_floor_service_rule,low_floor_service_rule,low-floor customers can be served by van or drone; optimizer decides service_mode
problem_settings,setting,high_floor_service_rule,high_floor_service_rule,high-floor customers must be served by drone
problem_settings,setting,drone_energy_formula,drone_energy_formula,energy += [rou * (pickup_load + delivery_load + drone_self_weight) + rou1] * flight_hours
problem_settings,setting,waiting_cost_in_objective,waiting_cost_in_objective,False
problem_settings,setting,used_drones_note,used_drones_note,physical drone count after assigning drone_id to sorties
nodes_orders,node,0,node_id,0
nodes_orders,node,0,node_type,port
nodes_orders,node,0,x,5.0
nodes_orders,node,0,y,5.0
nodes_orders,node,0,delivery_demand,
nodes_orders,node,0,pickup_demand,
nodes_orders,node,0,time_window,
nodes_orders,node,0,service_time,
nodes_orders,node,0,drone_eligible,
nodes_orders,node,0,high_floor,
nodes_orders,node,0,order_id,
nodes_orders,node,0,container_id,
nodes_orders,node,0,assigned_transshipment,
nodes_orders,node,1,node_id,1
nodes_orders,node,1,node_type,truck_depot
nodes_orders,node,1,x,0.0
nodes_orders,node,1,y,12.0
nodes_orders,node,1,delivery_demand,
nodes_orders,node,1,pickup_demand,
nodes_orders,node,1,time_window,
nodes_orders,node,1,service_time,
nodes_orders,node,1,drone_eligible,
nodes_orders,node,1,high_floor,
nodes_orders,node,1,order_id,
nodes_orders,node,1,container_id,
nodes_orders,node,1,assigned_transshipment,
nodes_orders,node,2,node_id,2
nodes_orders,node,2,node_type,transshipment
nodes_orders,node,2,x,28.0
nodes_orders,node,2,y,24.0
nodes_orders,node,2,delivery_demand,
nodes_orders,node,2,pickup_demand,
nodes_orders,node,2,time_window,
nodes_orders,node,2,service_time,
nodes_orders,node,2,drone_eligible,
nodes_orders,node,2,high_floor,
nodes_orders,node,2,order_id,
nodes_orders,node,2,container_id,
nodes_orders,node,2,assigned_transshipment,
nodes_orders,node,3,node_id,3
nodes_orders,node,3,node_type,transshipment
nodes_orders,node,3,x,48.0
nodes_orders,node,3,y,18.0
nodes_orders,node,3,delivery_demand,
nodes_orders,node,3,pickup_demand,
nodes_orders,node,3,time_window,
nodes_orders,node,3,service_time,
nodes_orders,node,3,drone_eligible,
nodes_orders,node,3,high_floor,
nodes_orders,node,3,order_id,
nodes_orders,node,3,container_id,
nodes_orders,node,3,assigned_transshipment,
nodes_orders,node,4,node_id,4
nodes_orders,node,4,node_type,customer
nodes_orders,node,4,x,27.947510133926272
nodes_orders,node,4,y,26.83616268243047
nodes_orders,node,4,delivery_demand,2.0
nodes_orders,node,4,pickup_demand,1.0
nodes_orders,node,4,time_window,"(0.0, 10000.0)"
nodes_orders,node,4,service_time,0.0
nodes_orders,node,4,drone_eligible,True
nodes_orders,node,4,high_floor,False
nodes_orders,node,4,order_id,0
nodes_orders,node,4,container_id,0
nodes_orders,node,4,assigned_transshipment,2
nodes_orders,node,5,node_id,5
nodes_orders,node,5,node_type,customer
nodes_orders,node,5,x,48.278169972444594
nodes_orders,node,5,y,16.713389777875946
nodes_orders,node,5,delivery_demand,3.0
nodes_orders,node,5,pickup_demand,2.0
nodes_orders,node,5,time_window,"(0.0, 10000.0)"
nodes_orders,node,5,service_time,0.0
nodes_orders,node,5,drone_eligible,True
nodes_orders,node,5,high_floor,False
nodes_orders,node,5,order_id,1
nodes_orders,node,5,container_id,0
nodes_orders,node,5,assigned_transshipment,2
nodes_orders,node,6,node_id,6
nodes_orders,node,6,node_type,customer
nodes_orders,node,6,x,44.941112949503555
nodes_orders,node,6,y,42.49026812800777
nodes_orders,node,6,delivery_demand,4.0
nodes_orders,node,6,pickup_demand,1.0
nodes_orders,node,6,time_window,"(0.0, 10000.0)"
nodes_orders,node,6,service_time,0.0
nodes_orders,node,6,drone_eligible,True
nodes_orders,node,6,high_floor,False
nodes_orders,node,6,order_id,2
nodes_orders,node,6,container_id,0
nodes_orders,node,6,assigned_transshipment,2
nodes_orders,node,7,node_id,7
nodes_orders,node,7,node_type,customer
nodes_orders,node,7,x,27.967920719144768
nodes_orders,node,7,y,8.988252193640399
nodes_orders,node,7,delivery_demand,2.0
nodes_orders,node,7,pickup_demand,2.0
nodes_orders,node,7,time_window,"(0.0, 10000.0)"
nodes_orders,node,7,service_time,0.0
nodes_orders,node,7,drone_eligible,True
nodes_orders,node,7,high_floor,False
nodes_orders,node,7,order_id,3
nodes_orders,node,7,container_id,0
nodes_orders,node,7,assigned_transshipment,2
nodes_orders,node,8,node_id,8
nodes_orders,node,8,node_type,customer
nodes_orders,node,8,x,13.570151590794026
nodes_orders,node,8,y,19.110416751504196
nodes_orders,node,8,delivery_demand,3.0
nodes_orders,node,8,pickup_demand,1.0
nodes_orders,node,8,time_window,"(0.0, 10000.0)"
nodes_orders,node,8,service_time,0.0
nodes_orders,node,8,drone_eligible,True
nodes_orders,node,8,high_floor,False
nodes_orders,node,8,order_id,4
nodes_orders,node,8,container_id,0
nodes_orders,node,8,assigned_transshipment,2
nodes_orders,node,9,node_id,9
nodes_orders,node,9,node_type,customer
nodes_orders,node,9,x,23.914727070667322
nodes_orders,node,9,y,39.478171725162895
nodes_orders,node,9,delivery_demand,4.0
nodes_orders,node,9,pickup_demand,2.0
nodes_orders,node,9,time_window,"(0.0, 10000.0)"
nodes_orders,node,9,service_time,0.0
nodes_orders,node,9,drone_eligible,True
nodes_orders,node,9,high_floor,False
nodes_orders,node,9,order_id,5
nodes_orders,node,9,container_id,0
nodes_orders,node,9,assigned_transshipment,2
nodes_orders,node,10,node_id,10
nodes_orders,node,10,node_type,customer
nodes_orders,node,10,x,26.12762451488868
nodes_orders,node,10,y,10.730688835133934
nodes_orders,node,10,delivery_demand,2.0
nodes_orders,node,10,pickup_demand,1.0
nodes_orders,node,10,time_window,"(0.0, 10000.0)"
nodes_orders,node,10,service_time,0.0
nodes_orders,node,10,drone_eligible,True
nodes_orders,node,10,high_floor,False
nodes_orders,node,10,order_id,6
nodes_orders,node,10,container_id,0
nodes_orders,node,10,assigned_transshipment,2
nodes_orders,node,11,node_id,11
nodes_orders,node,11,node_type,customer
nodes_orders,node,11,x,14.934260516073602
nodes_orders,node,11,y,39.12755386932774
nodes_orders,node,11,delivery_demand,3.0
nodes_orders,node,11,pickup_demand,2.0
nodes_orders,node,11,time_window,"(0.0, 10000.0)"
nodes_orders,node,11,service_time,0.0
nodes_orders,node,11,drone_eligible,True
nodes_orders,node,11,high_floor,False
nodes_orders,node,11,order_id,7
nodes_orders,node,11,container_id,0
nodes_orders,node,11,assigned_transshipment,2
nodes_orders,node,12,node_id,12
nodes_orders,node,12,node_type,customer
nodes_orders,node,12,x,24.498174121268693
nodes_orders,node,12,y,19.16165728731894
nodes_orders,node,12,delivery_demand,4.0
nodes_orders,node,12,pickup_demand,1.0
nodes_orders,node,12,time_window,"(0.0, 10000.0)"
nodes_orders,node,12,service_time,0.0
nodes_orders,node,12,drone_eligible,True
nodes_orders,node,12,high_floor,False
nodes_orders,node,12,order_id,8
nodes_orders,node,12,container_id,0
nodes_orders,node,12,assigned_transshipment,2
nodes_orders,node,13,node_id,13
nodes_orders,node,13,node_type,customer
nodes_orders,node,13,x,36.143143949058675
nodes_orders,node,13,y,18.225279592102797
nodes_orders,node,13,delivery_demand,2.0
nodes_orders,node,13,pickup_demand,2.0
nodes_orders,node,13,time_window,"(0.0, 10000.0)"
nodes_orders,node,13,service_time,0.0
nodes_orders,node,13,drone_eligible,True
nodes_orders,node,13,high_floor,False
nodes_orders,node,13,order_id,9
nodes_orders,node,13,container_id,0
nodes_orders,node,13,assigned_transshipment,2
container_truck,container,0,origin_node,0
container_truck,container,0,selected_transshipment,2
container_truck,container,0,orders,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
container_truck,container,0,customers,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
container_truck,truck_segment,1,from,1
container_truck,truck_segment,1,to,0
container_truck,truck_segment,1,distance,8.602325267042627
container_truck,truck_segment,1,travel_time,17.204650534085253
container_truck,truck_segment,1,arrival_time,17.204650534085253
container_truck,truck_segment,1,container_load_departure_from,0.0
container_truck,truck_segment,1,payload_kg_departure_from,0.0
container_truck,truck_segment,1,container_load_arrival_at_to,0.0
container_truck,truck_segment,1,payload_kg_arrival_at_to,0.0
container_truck,truck_segment,1,operation_at_to,load_container
container_truck,truck_segment,1,container_load_departure_at_to,1.0
container_truck,truck_segment,1,payload_kg_departure_at_to,29.0
container_truck,truck_segment,2,from,0
container_truck,truck_segment,2,to,2
container_truck,truck_segment,2,distance,29.832867780352597
container_truck,truck_segment,2,travel_time,59.665735560705194
container_truck,truck_segment,2,arrival_time,76.87038609479045
container_truck,truck_segment,2,container_load_departure_from,1.0
container_truck,truck_segment,2,payload_kg_departure_from,29.0
container_truck,truck_segment,2,container_load_arrival_at_to,1.0
container_truck,truck_segment,2,payload_kg_arrival_at_to,29.0
container_truck,truck_segment,2,operation_at_to,unload_container
container_truck,truck_segment,2,container_load_departure_at_to,0.0
container_truck,truck_segment,2,payload_kg_departure_at_to,0.0
van_routes,van_route,van_0,route,"[2, 7, 8, 9, 2]"
van_routes,van_route,van_1,route,"[2, 4, 5, 10, 11, 12, 13, 2]"
van_route,van_segment,van_0:1,van_id,van_0
