iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible
1,726.8170729541214,726.8170729541214,726.6268104446026,True,True,cascade_aware_removal,best_mode_repair,1000.0,240.1799225814728,74.17992258147278,166.0,146.14961151444217,87.14961151444217,59.0,340.4875388582064,2.487538858206368,338.0,38.435193047395224,99.59955601650533,47.83728573473785,4.339981507225019,1,1,2,2,6.9583429274569975,6.9583429274569975,0.0,726.8170729541214,10.109519730806454,0.623142882237758,0.0,0.0,True,True
2,726.8170729541214,20844.41276086456,726.6268104446026,False,False,switch_transshipment_operator,regret_repair,999.5,304.9407409816288,138.94074098162878,166.0,193.871884185918,134.871884185918,59.0,345.60013569701454,7.6001356970145215,338.0,71.99002123400454,154.13929621247772,146.15645571181773,15.080217041700644,1,1,2,2,71.06857658987137,71.06857658987137,20000.0,20844.41276086456,109.61734178386331,0.0,0.0,2.0,True,False
3,726.8170729541214,10562.486425646304,726.6268104446026,False,False,cascade_aware_removal,greedy_van_repair,999.00025,240.1799225814728,74.17992258147278,166.0,151.51989090796053,92.51989090796054,59.0,170.78661215687046,1.7866121568704532,169.0,38.435193047395224,105.73701818052633,34.35792609366256,3.0880859805601526,1,1,1,1,6.372686256494571,6.372686256494571,10000.0,10562.486425646304,0.0,9.829336128269262,0.0,0.0,True,False
4,770.6683250174065,770.6683250174065,726.6268104446026,True,True,switch_transshipment_operator,regret_repair,998.5007498750001,269.3022467039268,103.3022467039268,166.0,156.42195226705144,97.42195226705144,59.0,344.94412604642827,6.944126046428256,338.0,53.524480157475026,111.33937401948735,133.5408855082357,18.625834855877713,1,1,2,2,64.93425557837963,64.93425557837963,0.0,770.6683250174065,100.15566413117682,0.0,0.0,0.0,True,True
5,770.6683250174065,770.6683250174065,726.6268104446026,True,True,greedy_removal,best_mode_repair,998.0014995000627,269.3022467039268,103.3022467039268,166.0,156.42195226705144,97.42195226705144,59.0,344.94412604642827,6.944126046428256,338.0,53.524480157475026,111.33937401948735,133.5408855082357,18.625834855877713,1,1,2,2,64.93425557837963,64.93425557837963,0.0,770.6683250174065,100.15566413117682,0.0,0.0,0.0,True,True
6,770.3215070673963,770.3215070673963,726.6268104446026,True,True,cascade_aware_removal,regret_repair,997.5024987503127,269.3022467039268,103.3022467039268,166.0,156.6539690542766,97.65396905427659,59.0,344.3652913091929,6.365291309192936,338.0,53.524480157475026,111.60453606203039,122.40944825371031,17.022905304463645,1,1,2,2,53.23156778167341,53.23156778167341,0.0,770.3215070673963,44.644460575985846,37.46078535975721,0.0,0.0,True,True
7,769.4366522148555,769.4366522148555,726.6268104446026,True,True,related_customer_removal,cascade_repair,997.0037475009376,269.3022467039268,103.3022467039268,166.0,156.6539690542766,97.65396905427659,59.0,343.48043645665206,5.480436456652051,338.0,53.524480157475026,111.60453606203039,105.39300878177022,14.00926854114526,1,1,2,2,95.04179163767203,95.04179163767203,0.0,769.4366522148555,44.644460575985846,101.94956251553916,0.0,0.0,True,True
8,769.4366522148555,10603.796385132955,726.6268104446026,False,False,cascade_aware_removal,greedy_van_repair,996.5052456271872,269.3022467039268,103.3022467039268,166.0,163.10905123897706,104.10905123897706,59.0,171.38508719005037,2.385087190050365,169.0,53.524480157475026,118.98177284454522,45.86706134712241,4.6316456980894465,1,1,1,1,73.00300980525924,73.00300980525924,10000.0,10603.796385132955,0.0,112.60104340142814,0.0,0.0,True,False
9,769.4366522148555,769.4366522148555,726.6268104446026,True,True,greedy_removal,regret_repair,996.0069930043736,269.3022467039268,103.3022467039268,166.0,156.6539690542766,97.65396905427659,59.0,343.48043645665206,5.480436456652051,338.0,53.524480157475026,111.60453606203039,105.39300878177022,14.00926854114526,1,1,2,2,95.04179163767203,95.04179163767203,0.0,769.4366522148555,44.644460575985846,101.94956251553916,0.0,0.0,True,True
10,769.4366522148555,41180.65329121668,726.6268104446026,False,False,switch_transshipment_operator,greedy_drone_repair,995.5089895078714,304.9407409816288,138.94074098162878,166.0,183.71654765380973,124.71654765380973,59.0,691.9960025812409,15.996002581240893,676.0,71.99002123400454,142.53319731863968,307.61543425463253,35.73353192116713,1,1,4,4,149.57800490631507,149.57800490631507,40000.0,41180.65329121668,230.71157569097443,0.0,0.0,3.0,True,False
