iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible
1,729.6359845165555,729.6359845165555,729.6359845165555,True,True,cascade_aware_removal,best_mode_repair,1000.0,240.1799225814728,74.17992258147278,166.0,145.7418022603129,86.74180226031292,59.0,343.71425967476983,5.714259674769812,338.0,38.435193047395224,99.13348829750048,109.88960913018869,14.474033220738047,1,1,2,2,53.43382243955424,53.43382243955424,0.0,729.6359845165555,82.41720684764151,0.0,0.0,0.0,True,True
2,557.3528408621347,557.3528408621347,557.3528408621347,True,True,related_customer_removal,greedy_drone_repair,999.5,240.1799225814728,74.17992258147278,166.0,145.7418022603129,86.74180226031292,59.0,171.43111602034904,2.4311160203490503,169.0,38.435193047395224,99.13348829750048,46.752231160558665,9.528538179478021,1,1,1,1,16.598244855660308,16.598244855660308,0.0,557.3528408621347,25.601405947033896,0.0,0.0,0.0,True,True
3,557.3528408621347,40392.34551071811,557.3528408621347,False,False,cascade_aware_removal,greedy_van_repair,999.00025,240.1799225814728,74.17992258147278,166.0,152.16558813663167,93.16558813663167,59.0,0.0,0.0,0.0,38.435193047395224,106.47495787043619,0.0,0.0,1,1,0,0,0.0,0.0,40000.0,40392.34551071811,0.0,0.0,0.0,0.0,True,False
4,557.3528408621347,892.1394765265211,557.3528408621347,False,True,random_customer_removal,greedy_drone_repair,998.5007498750001,240.1799225814728,74.17992258147278,166.0,140.66882496148867,81.66882496148867,59.0,511.29072898355963,4.290728983559645,507.0,38.435193047395224,93.33579995598704,82.51401891460856,9.842137532693341,1,1,3,3,113.48913389761937,113.48913389761937,0.0,892.1394765265211,3.8211552421067267,171.22635205499256,0.0,0.0,True,True
5,557.3528408621347,40392.34551071811,557.3528408621347,False,False,drone_task_removal,greedy_van_repair,998.0014995000627,240.1799225814728,74.17992258147278,166.0,152.16558813663167,93.16558813663167,59.0,0.0,0.0,0.0,38.435193047395224,106.47495787043619,0.0,0.0,1,1,0,0,0.0,0.0,40000.0,40392.34551071811,0.0,0.0,0.0,0.0,True,False
6,557.205348560141,557.205348560141,557.205348560141,True,True,related_customer_removal,greedy_drone_repair,997.5024987503127,240.1799225814728,74.17992258147278,166.0,144.66376987466467,85.66376987466467,59.0,172.36165610400363,3.3616561040036155,169.0,38.435193047395224,97.90145128533105,64.6472327693003,12.18426237732408,1,1,1,2,17.99055687167966,17.99055687167966,0.0,557.205348560141,25.601405947033896,2.14752496044116,0.0,0.0,True,True
7,557.205348560141,40561.19801841611,557.205348560141,False,False,related_customer_removal,greedy_van_repair,997.0037475009376,240.1799225814728,74.17992258147278,166.0,151.08755575098343,92.08755575098341,59.0,169.93054008365456,0.9305400836545653,169.0,38.435193047395224,105.24292085826676,17.89500160874164,2.6557241978460584,1,1,1,1,1.392312016019352,1.392312016019352,40000.0,40561.19801841611,0.0,2.14752496044116,0.0,0.0,True,False
8,726.6102584880405,726.6102584880405,557.205348560141,True,True,random_customer_removal,greedy_drone_repair,996.5052456271872,240.1799225814728,74.17992258147278,166.0,142.29563480560955,83.29563480560955,59.0,344.13470110095807,6.134701100958072,338.0,38.435193047395224,95.19501120641091,117.9750211722706,19.822113514180838,1,1,2,3,83.76028215101333,83.76028215101333,0.0,726.6102584880405,24.925221365062185,104.26801588585812,0.0,0.0,True,True
9,896.3794721453175,896.3794721453175,557.205348560141,True,True,random_customer_removal,cascade_repair,996.0069930043736,240.1799225814728,74.17992258147278,166.0,144.66376987466467,85.66376987466467,59.0,511.53577968918006,4.535779689180062,507.0,38.435193047395224,97.90145128533105,87.22653248423197,11.109962963539264,1,1,3,3,116.32949080331527,116.32949080331527,0.0,896.3794721453175,0.0,179.42852051925234,0.0,0.0,True,True
10,896.3794721453175,896.3794721453175,557.205348560141,True,True,greedy_removal,cascade_repair,995.5089895078714,240.1799225814728,74.17992258147278,166.0,144.66376987466467,85.66376987466467,59.0,511.53577968918006,4.535779689180062,507.0,38.435193047395224,97.90145128533105,87.22653248423197,11.109962963539264,1,1,3,3,116.32949080331527,116.32949080331527,0.0,896.3794721453175,0.0,179.42852051925234,0.0,0.0,True,True
