iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible
1,932.896980701425,20762.511289927013,932.896980701425,False,False,cascade_aware_removal,cascade_repair,1000.0,240.1799225814728,74.17992258147278,166.0,178.28701743267015,119.28701743267014,59.0,344.044349912872,6.044349912872001,338.0,38.435193047395224,136.32801992305158,116.23749832446157,14.929998644017644,1,1,2,2,56.52048356026943,56.52048356026943,20000.0,20762.511289927013,87.17812374334618,0.0,0.0,0.0,True,False
2,932.896980701425,10931.506975624567,932.896980701425,False,False,random_customer_removal,greedy_drone_repair,999.5,240.1799225814728,74.17992258147278,166.0,176.77253209285678,117.77253209285678,59.0,514.5545209502374,7.55452095023739,507.0,38.435193047395224,134.59717953469345,145.27924904302677,18.115933414023548,1,1,3,3,65.04080431093709,65.04080431093709,10000.0,10931.506975624567,100.32000664926029,0.0,0.0,0.0,True,False
3,932.896980701425,10930.226436994973,932.896980701425,False,False,random_customer_removal,greedy_van_repair,999.00025,240.1799225814728,74.17992258147278,166.0,175.61647372621758,116.61647372621758,59.0,514.4300406872821,7.430040687282117,507.0,38.435193047395224,133.2759699728201,142.88539783234842,18.820591972169126,1,1,3,3,69.47802469597941,69.47802469597941,10000.0,10930.226436994973,107.1640483742613,0.0,0.0,1.0,True,False
4,932.896980701425,10932.287259441326,932.896980701425,False,False,greedy_removal,best_mode_repair,998.5007498750001,240.1799225814728,74.17992258147278,166.0,177.67729617257086,118.67729617257086,59.0,514.4300406872821,7.430040687282117,507.0,38.435193047395224,135.63119562579527,142.88539783234842,18.820591972169126,1,1,3,3,69.47802469597941,69.47802469597941,10000.0,10932.287259441326,107.1640483742613,0.0,0.0,1.0,True,False
5,932.896980701425,30779.65371325344,932.896980701425,False,False,switch_transshipment_operator,cascade_repair,998.0014995000627,269.3022467039268,103.3022467039268,166.0,165.1777364021193,106.17773640211931,59.0,345.17373014739377,7.173730147393746,338.0,53.524480157475026,121.34598445956492,137.9563489883413,20.473232433739618,1,1,2,2,67.08127469558096,67.08127469558096,30000.0,30779.65371325344,103.46726174125598,0.0,0.0,1.0,True,False
6,932.896980701425,10898.804409178918,932.896980701425,False,False,cascade_aware_removal,greedy_drone_repair,997.5024987503127,240.1799225814728,74.17992258147278,166.0,142.78131091659853,83.78131091659853,59.0,515.8431756808461,8.84317568084607,507.0,38.435193047395224,95.75006961896975,170.06107078550136,19.765280400124283,1,1,3,3,84.3056147068369,84.3056147068369,10000.0,10898.804409178918,87.17812374334618,42.85624341372875,0.0,0.0,True,False
7,931.4496941915706,931.4496941915706,931.4496941915706,True,True,random_customer_removal,best_mode_repair,997.0037475009376,240.1799225814728,74.17992258147278,166.0,177.67729617257086,118.67729617257086,59.0,513.592475437527,6.592475437527029,507.0,38.435193047395224,135.63119562579527,126.77837379859673,17.008004740865026,1,1,3,3,93.33104672095307,93.33104672095307,0.0,931.4496941915706,66.66433537471077,77.29100661133509,0.0,0.0,True,True
8,931.4496941915706,40478.633734677845,931.4496941915706,False,False,switch_transshipment_operator,greedy_van_repair,996.5052456271872,269.3022467039268,103.3022467039268,166.0,209.33148797391542,150.33148797391542,59.0,0.0,0.0,0.0,53.524480157475026,171.8074148273319,0.0,0.0,1,1,0,0,0.0,0.0,40000.0,40478.633734677845,0.0,0.0,0.0,0.0,True,False
9,931.4496941915706,30610.781697626964,931.4496941915706,False,False,drone_task_removal,greedy_van_repair,996.0069930043736,240.1799225814728,74.17992258147278,166.0,199.63136019394477,140.63136019394477,59.0,170.97041485154708,1.9704148515470834,169.0,38.435193047395224,160.72155450736545,37.892593298982376,3.540124836803168,1,1,1,1,50.11033595301557,50.11033595301557,30000.0,30610.781697626964,0.0,77.29100661133508,0.0,0.0,True,False
10,924.441234311774,924.441234311774,924.441234311774,True,True,related_customer_removal,cascade_repair,995.5089895078714,240.1799225814728,74.17992258147278,166.0,169.58222853579247,110.58222853579247,59.0,514.6790831945087,7.679083194508685,507.0,38.435193047395224,126.3796897551914,147.6746768174747,22.025972039072002,1,1,3,3,64.95347297917336,64.95347297917336,0.0,924.441234311774,100.18530536633422,0.0,0.0,0.0,True,True
