iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,destroy,repair,temperature,truck_cost,truck_transport_cost,truck_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible
1,598.7422871855887,598.7422871855887,598.7422871855887,True,True,cascade_aware_removal,cascade_repair,1000.0,240.1799225814728,74.17992258147278,166.0,185.12202676418212,126.12202676418211,59.0,173.44033783993373,4.440337839933739,169.0,38.435193047395224,144.13945915906527,85.39111230641807,11.049209091391786,1,1,1,1,41.5214283589958,41.5214283589958,0.0,598.7422871855887,64.04333422981357,0.0,0.0,0.0,True,True
2,598.7422871855887,598.7422871855887,598.7422871855887,True,True,related_customer_removal,best_mode_repair,999.5,240.1799225814728,74.17992258147278,166.0,185.12202676418212,126.12202676418211,59.0,173.44033783993373,4.440337839933739,169.0,38.435193047395224,144.13945915906527,85.39111230641807,11.049209091391786,1,1,1,1,41.5214283589958,41.5214283589958,0.0,598.7422871855887,64.04333422981357,0.0,0.0,0.0,True,True
3,598.7422871855887,598.7422871855887,598.7422871855887,True,True,random_customer_removal,cascade_repair,999.00025,240.1799225814728,74.17992258147278,166.0,185.12202676418212,126.12202676418211,59.0,173.44033783993373,4.440337839933739,169.0,38.435193047395224,144.13945915906527,85.39111230641807,11.049209091391786,1,1,1,1,41.5214283589958,41.5214283589958,0.0,598.7422871855887,64.04333422981357,0.0,0.0,0.0,True,True
4,598.7422871855887,10770.488025198572,598.7422871855887,False,False,switch_transshipment_operator,cascade_repair,998.5007498750001,269.3022467039268,103.3022467039268,166.0,155.90547005678204,96.90547005678204,59.0,345.28030843786405,7.280308437864045,338.0,53.524480157475026,110.74910863632232,140.0059314973855,18.83843299142173,1,1,2,2,68.07788419060373,68.07788419060373,10000.0,10770.488025198572,105.00444862303917,0.0,0.0,1.0,True,False
5,921.211598857334,921.211598857334,598.7422871855887,True,True,cascade_aware_removal,greedy_drone_repair,998.0014995000627,240.1799225814728,74.17992258147278,166.0,166.59434890700112,107.5943489070011,59.0,514.4373273688601,7.437327368860132,507.0,38.435193047395224,122.96497017942984,143.0255263242333,15.573533654604805,1,1,3,3,189.2971123598725,189.2971123598725,0.0,921.211598857334,64.04333422981357,227.93164627384584,0.0,0.0,True,True
6,921.211598857334,11065.371876039231,598.7422871855887,False,False,route_segment_removal,greedy_drone_repair,997.5024987503127,240.1799225814728,74.17992258147278,166.0,138.68075293995395,79.68075293995396,59.0,686.5112005178038,10.51120051780376,676.0,38.435193047395224,91.06371764566167,202.13847149622617,22.14460894612706,1,1,4,4,162.78799522834964,162.78799522834964,10000.0,11065.371876039231,77.93693518772342,173.14994691255885,0.0,0.0,True,False
7,921.211598857334,20478.633734677842,598.7422871855887,False,False,switch_transshipment_operator,greedy_van_repair,997.0037475009376,269.3022467039268,103.3022467039268,166.0,209.33148797391542,150.33148797391542,59.0,0.0,0.0,0.0,53.524480157475026,171.8074148273319,0.0,0.0,1,1,0,0,0.0,0.0,20000.0,20478.633734677842,0.0,0.0,0.0,0.0,True,False
8,921.211598857334,20603.722226843816,598.7422871855887,False,False,drone_task_removal,greedy_van_repair,996.5052456271872,240.1799225814728,74.17992258147278,166.0,193.8005374372805,134.8005374372805,59.0,169.74176682506302,0.7417668250630137,169.0,38.435193047395224,154.05775707117772,14.264746635827187,1.4860651253407107,1,1,1,1,127.03450761756339,127.03450761756339,20000.0,20603.722226843816,0.0,195.9401145772186,0.0,0.0,True,False
9,761.3408718901483,761.3408718901483,598.7422871855887,True,True,related_customer_removal,cascade_repair,996.0069930043736,240.1799225814728,74.17992258147278,166.0,177.97884464367877,118.97884464367876,59.0,343.18210466499676,5.182104664996753,338.0,38.435193047395224,135.97582244991858,99.65585894224526,12.535274216732496,1,1,2,2,150.9712545573846,150.9712545573846,0.0,761.3408718901483,64.04333422981357,168.8172126453298,0.0,0.0,True,True
10,765.2731903451324,765.2731903451324,598.7422871855887,True,True,related_customer_removal,greedy_van_repair,995.5089895078714,240.1799225814728,74.17992258147278,166.0,181.9111630986628,122.9111630986628,59.0,343.18210466499676,5.182104664996753,338.0,38.435193047395224,140.46990068418606,99.65585894224526,12.535274216732496,1,1,2,2,164.338835099372,164.338835099372,0.0,765.2731903451324,64.04333422981357,189.43558880263686,0.0,0.0,True,True
11,765.2731903451324,11084.148063392651,598.7422871855887,False,False,cascade_aware_removal,greedy_drone_repair,995.0112350131176,240.1799225814728,74.17992258147278,166.0,158.5720418839161,99.57204188391611,59.0,685.3960989272632,9.396098927263214,676.0,38.435193047395224,113.79661929590414,180.6942101396772,19.055745301439845,1,1,4,4,191.4787818758401,191.4787818758401,10000.0,11084.148063392651,71.8037352256723,223.53628823320705,0.0,0.0,True,False
12,765.2731903451324,765.2731903451324,598.7422871855887,True,True,route_segment_removal,best_mode_repair,994.5137293956111,240.1799225814728,74.17992258147278,166.0,181.9111630986628,122.9111630986628,59.0,343.18210466499676,5.182104664996753,338.0,38.435193047395224,140.46990068418606,99.65585894224526,12.535274216732496,1,1,2,2,164.338835099372,164.338835099372,0.0,765.2731903451324,64.04333422981357,189.43558880263686,0.0,0.0,True,True
13,928.2607597576912,928.2607597576912,598.7422871855887,True,True,random_customer_removal,cascade_repair,994.0164725309133,240.1799225814728,74.17992258147278,166.0,176.6946021278797,117.6946021278797,59.0,511.3862350483387,4.3862350483386905,507.0,38.435193047395224,134.5081167175768,84.35067400651329,9.870954011726603,1,1,3,3,253.1235951880456,253.1235951880456,0.0,928.2607597576912,0.0,390.42199771935054,0.0,0.0,True,True
14,928.2607597576912,41189.90029589423,598.7422871855887,False,False,switch_transshipment_operator,greedy_drone_repair,993.519464294648,304.9407409816288,138.94074098162878,166.0,192.70562845358188,133.70562845358188,59.0,692.2539264590149,16.253926459014956,676.0,71.99002123400454,152.8064325183793,312.5755088272107,35.234572929436744,1,1,4,4,151.98984116723122,151.98984116723122,40000.0,41189.90029589423,234.43163162040804,0.0,0.0,3.0,True,False
15,909.2833798394765,909.2833798394765,598.7422871855887,True,True,route_segment_removal,greedy_drone_repair,993.0227045625006,240.1799225814728,74.17992258147278,166.0,153.69553818240186,94.69553818240186,59.0,515.4079190756019,8.407919075601878,507.0,38.435193047395224,108.22347220845927,161.69075145388229,15.327320367740844,1,1,3,4,180.63408343787125,180.63408343787125,0.0,909.2833798394765,0.0,278.6129821663824,0.0,0.0,True,True
