iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,action_id,action_display_name,operator_mode,action_registry_fingerprint,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
1,1484.4917238190928,211234.2229654132,1484.4917238190928,False,False,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,1000.0,1,False,209749.73124159413,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,274.9113423363059,156.91134233630586,118.0,515.9303238605034,8.930323860503488,507.0,143.7208804230052,179.32724838434956,171.7369973173748,15.938089676283221,1,1,1,2,3,8,9620.067178212028,9620.067178212028,210000.0,211234.2229654132,5102.307308236584,9735.842581036468,0.0,17.0,True,False,"['unassigned customers remain: [13, 20]', 'customer 7 service_start 5105.984 exceeds latest 360.000.', 'customer 8 service_start 5150.785 exceeds latest 360.000.', 'customer 14 service_start 5161.841 exceeds latest 360.000.', 'customer 5 service_start 5175.028 exceeds latest 360.000.', 'customer 23 service_start 5175.865 exceeds latest 360.000.', 'customer 10 service_start 5191.818 exceeds latest 360.000.', 'customer 11 service_start 5209.537 exceeds latest 360.000.', 'customer 6 service_start 5183.984 exceeds latest 360.000.', 'timing fixed-point did not converge within 50 iterations.', 'van_0 departs position 4 before recovery_time 5182.752.', 'van_0 position 5 arrival 5105.984 is before propagated recovery arrival 5202.448.', 'van_0 departs position 5 before recovery_time 5200.884.', 'van_0 position 6 arrival 5150.785 is before propagated recovery arrival 5245.685.', 'van_0 departs position 8 before recovery_time 5222.882.', 'van_0 position 9 arrival 5189.577 is before propagated recovery arrival 5237.432.', 'van_0 departs position 8 before recovery_time 5192.940.', 'van_0 position 9 arrival 5189.577 is before propagated recovery arrival 5207.490.', 'drone_id drone_0 launch_position 2 is before previous recovery_position 8.', 'high-floor customer 13 must be served by drone.', 'high-floor customer 20 must be served by drone.']"
2,1484.4917238190928,241064.75269612932,1484.4917238190928,False,False,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,999.5,2,False,239580.26097231024,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,271.52365208532285,153.52365208532285,118.0,349.8477448275938,11.847744827593774,338.0,143.7208804230052,175.4556023832261,227.84124668449564,22.212189506216948,1,1,1,2,2,8,9615.39872285412,9615.39872285412,240000.0,241064.75269612932,5133.828389968867,9697.120796952655,0.0,21.0,True,False,"['unassigned customers remain: [5]', 'customer 19 service_start 5019.253 exceeds latest 360.000.', 'customer 7 service_start 5038.948 exceeds latest 360.000.', 'customer 10 service_start 5057.079 exceeds latest 360.000.', 'customer 8 service_start 5083.914 exceeds latest 360.000.', 'customer 14 service_start 5094.970 exceeds latest 360.000.', 'customer 23 service_start 5102.099 exceeds latest 360.000.', 'customer 22 service_start 5126.905 exceeds latest 360.000.', 'customer 20 service_start 5157.649 exceeds latest 360.000.', 'customer 11 service_start 5163.428 exceeds latest 360.000.', 'customer 6 service_start 5171.694 exceeds latest 360.000.', 'customer 17 service_start 5195.514 exceeds latest 360.000.', 'timing fixed-point did not converge within 50 iterations.', 'van_0 departs position 8 before recovery_time 5167.400.', 'van_0 position 9 arrival 5094.970 is before propagated recovery arrival 5178.456.', 'van_0 departs position 8 before recovery_time 5175.989.', 'van_0 position 9 arrival 5094.970 is before propagated recovery arrival 5187.045.', 'van_0 departs position 10 before recovery_time 5197.696.', 'van_0 departs position 4 before recovery_time 5109.227.', 'van_0 position 5 arrival 5019.253 is before propagated recovery arrival 5113.992.', 'van_0 departs position 9 before recovery_time 5145.514.', 'van_0 position 10 arrival 5121.667 is before propagated recovery arrival 5172.211.', 'drone_id drone_0 launch_position 4 is before previous recovery_position 9.', 'drone_id drone_0 launch_position 7 is before previous recovery_position 9.']"
3,1484.4917238190928,41484.69835140591,1484.4917238190928,False,False,False,{},[],random_customer_removal,greedy_van_repair,1,Random + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,999.00025,3,False,40000.20662758682,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,356.434981089159,179.434981089159,177.0,684.8820711003543,8.882071100354326,676.0,143.7208804230052,205.06854981618173,170.80905962219856,16.155110621052977,1,1,1,3,4,8,209.22133739167333,209.22133739167333,40000.0,41484.69835140591,109.56569500094434,213.14073799392452,0.0,3.0,True,False,"['customer 5 service_start 382.222 exceeds latest 360.000.', 'customer 20 service_start 394.357 exceeds latest 360.000.', 'customer 15 service_start 414.657 exceeds latest 360.000.', 'drone_id drone_0 launch_position 6 is before previous recovery_position 7.']"
4,1465.9853751167163,1465.9853751167163,1465.9853751167163,True,True,False,{},[],greedy_removal,best_mode_repair,4,Greedy + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,998.5007498750001,0,True,-18.5063487023765,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,341.40874808417914,164.4087480841791,177.0,681.1953278161371,5.1953278161371275,676.0,143.7208804230052,187.8957120962047,99.91015031032937,11.013844478016185,1,1,1,3,4,6,89.33251280673844,89.33251280673844,0.0,1465.9853751167163,10.593432632963811,127.19450485814946,0.0,0.0,True,True,[]
5,1465.9853751167163,11631.285904827324,1465.9853751167163,False,False,False,{},[],random_customer_removal,greedy_van_repair,1,Random + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,998.0014995000627,1,False,10165.300529710608,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,336.7012552247088,159.7012552247088,177.0,851.2033503862154,6.203350386215481,845.0,143.7208804230052,182.51572025681006,119.2951997349131,12.012630147864101,1,1,1,3,5,9,131.5844194055703,131.5844194055703,10000.0,11631.285904827324,51.92821218297041,151.02976119323057,0.0,1.0,True,False,['customer 5 service_start 379.213 exceeds latest 360.000.']
6,1297.1448366459936,1297.1448366459936,1297.1448366459936,True,True,False,{},[],greedy_removal,regret_repair,6,Greedy + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,997.5024987503127,0,True,-168.84053847072278,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,341.40874808417914,164.4087480841791,177.0,512.3547893454142,5.354789345414243,507.0,143.7208804230052,187.8957120962047,102.97671818104315,12.574514510798712,1,1,1,3,3,5,50.56730228026067,50.56730228026067,0.0,1297.1448366459936,4.774320491221943,73.22151850146804,0.0,0.0,True,True,[]
7,1295.3621854961716,1295.3621854961716,1295.3621854961716,True,True,False,{},[],random_customer_removal,best_mode_repair,0,Random + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,997.0037475009376,0,True,-1.7826511498219588,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,340.22309545841745,163.22309545841748,177.0,511.7577908213541,4.757790821354087,507.0,143.7208804230052,186.54068052390568,91.49597733373244,12.351580515969868,1,1,1,3,3,5,27.550885109002383,27.550885109002383,0.0,1295.3621854961716,26.196777717628663,16.298160753840307,0.0,0.0,True,True,[]
8,1295.3621854961716,41275.40863131229,1295.3621854961716,False,False,False,{},[],related_customer_removal,cascade_repair,11,Related + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,996.5052456271872,1,False,39980.046445816115,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,321.6933854363581,144.69338543635808,177.0,510.3339466595339,3.3339466595339013,507.0,143.7208804230052,165.3638690701235,64.11435883719041,8.498863712992986,1,1,1,3,3,3,14.236573115058867,14.236573115058867,40000.0,41275.40863131229,5.660563845222214,16.298160753840307,0.0,0.0,True,False,"['unassigned customers remain: [6, 8, 11, 16, 20]', 'high-floor customer 6 must be served by drone.', 'high-floor customer 11 must be served by drone.', 'high-floor customer 20 must be served by drone.']"
9,1295.3621854961716,101277.96224124011,1295.3621854961716,False,False,False,{},[],related_customer_removal,best_mode_repair,8,Related + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,996.0069930043736,2,False,99982.60005574394,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,319.2632840492193,142.2632840492193,177.0,515.3176579744944,8.317657974494416,507.0,143.7208804230052,162.5866103419649,159.95496104796956,16.74383453428884,1,1,1,3,3,7,6283.765357418382,6283.765357418382,100000.0,101277.96224124011,7186.064369235822,2506.118701332379,0.0,9.0,True,False,"['customer 5 service_start 2730.783 exceeds latest 360.000.', 'customer 20 service_start 2738.472 exceeds latest 360.000.', 'customer 8 service_start 2705.817 exceeds latest 360.000.', 'customer 11 service_start 2758.527 exceeds latest 360.000.', 'timing fixed-point did not converge within 48 iterations.', 'van_0 departs position 6 before recovery_time 2767.181.', 'van_0 position 7 arrival 2730.783 is before propagated recovery arrival 2780.367.', 'van_0 departs position 6 before recovery_time 2749.873.', 'van_0 position 7 arrival 2730.783 is before propagated recovery arrival 2763.059.', 'drone_id drone_0 launch_position 5 is before previous recovery_position 7.']"
10,1128.0529725913307,1128.0529725913307,1128.0529725913307,True,True,False,{},[],random_customer_removal,regret_repair,2,Random + Regret,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,995.5089895078714,0,True,-167.30921290484093,443.38129921640007,277.38129921640007,166.0,277.38129921640007,0.0,340.18075341585853,163.18075341585853,177.0,344.4909199590721,6.490919959072081,338.0,143.7208804230052,186.49228961812403,124.82538382830927,15.076914563837322,1,1,1,3,2,7,34.90194030628705,34.90194030628705,0.0,1128.0529725913307,41.441931727993904,12.391395222577387,0.0,0.0,True,True,[]
