"iteration","action_id","destroy","repair","accepted","current_cost","best_cost","candidate_feasible","operator_mode","action_registry_fingerprint"
"1","13","cascade_aware_removal","greedy_van_repair","False","1484.4917238190928","1484.4917238190928","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"2","13","cascade_aware_removal","greedy_van_repair","False","1484.4917238190928","1484.4917238190928","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"3","1","random_customer_removal","greedy_van_repair","False","1484.4917238190928","1484.4917238190928","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"4","4","greedy_removal","best_mode_repair","True","1465.9853751167163","1465.9853751167163","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"5","1","random_customer_removal","greedy_van_repair","False","1465.9853751167163","1465.9853751167163","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"6","6","greedy_removal","regret_repair","True","1297.1448366459936","1297.1448366459936","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"7","0","random_customer_removal","best_mode_repair","True","1295.3621854961716","1295.3621854961716","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"8","11","related_customer_removal","cascade_repair","False","1295.3621854961716","1295.3621854961716","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"9","8","related_customer_removal","best_mode_repair","False","1295.3621854961716","1295.3621854961716","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"10","2","random_customer_removal","regret_repair","True","1128.0529725913307","1128.0529725913307","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"11","10","related_customer_removal","regret_repair","True","1123.11017858475","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"12","4","greedy_removal","best_mode_repair","False","1123.11017858475","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"13","4","greedy_removal","best_mode_repair","False","1123.11017858475","1123.11017858475","False","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"14","7","greedy_removal","cascade_repair","True","1123.11017858475","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"15","1","random_customer_removal","greedy_van_repair","True","1207.3988406346298","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
"16","2","random_customer_removal","regret_repair","True","1153.350139615392","1123.11017858475","True","paper_mode","08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1"
