iteration,current_cost,candidate_cost,best_cost,accepted,candidate_feasible,shadow_failed,shadow_fail_reasons,shadow_fail_samples,destroy,repair,action_id,action_display_name,operator_mode,action_registry_fingerprint,temperature,no_improve_counter,is_global_best_improvement,delta_cost_from_current,truck_cost,truck_transport_cost,truck_fixed_cost,tractor_distance_cost,trailer_fixed_cost,van_cost,van_transport_cost,van_fixed_cost,drone_cost,drone_transport_cost,drone_fixed_cost,truck_distance,van_distance,drone_distance,drone_energy,used_trucks,used_tractors,used_trailers,used_vans,used_drones,used_drone_sorties,waiting_cost,waiting_cost_reported,penalty_cost,total_cost,van_waiting_time,drone_waiting_time,early_waiting_time,num_time_window_violations,waiting_cost_reported_not_optimized,feasible,violations
1,814.7546858730886,814.7546858730886,814.7546858730886,True,True,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,1000.0,0,True,-14.448044535063673,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,142.67717304531118,83.67717304531118,59.0,343.8510832435383,5.851083243538332,338.0,84.05514486230004,95.63105490892706,112.52083160650639,16.87735756147223,1,1,1,1,2,4,54.71325436866372,54.71325436866372,0.0,814.7546858730886,84.39062370487977,0.0,0.0,0.0,True,True,[]
2,814.7546858730886,40621.7238782374,814.7546858730886,False,False,False,{},[],cascade_aware_removal,cascade_repair,15,Cascade + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,999.5,1,False,39806.96919236431,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,122.34236663898596,63.34236663898596,59.0,171.15508201416938,2.1550820141693743,169.0,84.05514486230004,72.3912761588411,41.443884887872585,4.4643066533894125,1,1,1,1,1,2,20.152089026728063,20.152089026728063,40000.0,40621.7238782374,31.08291366590447,0.0,0.0,0.0,True,False,"['unassigned customers remain: [5, 6, 8, 9, 11, 14]', 'high-floor customer 8 must be served by drone.', 'high-floor customer 11 must be served by drone.', 'high-floor customer 14 must be served by drone.']"
3,812.2866075649572,812.2866075649572,812.2866075649572,True,True,False,{},[],greedy_removal,cascade_repair,7,Greedy + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,999.00025,0,True,-2.468078308131453,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,138.42443735901043,79.42443735901043,59.0,345.6357406217077,7.635740621707753,338.0,84.05514486230004,90.77078555315477,146.84116580207217,19.544139887715822,1,1,1,1,2,5,66.67490492276904,66.67490492276904,0.0,812.2866075649572,84.3906237048798,18.449846613015893,0.0,0.0,True,True,[]
4,811.9529412450966,811.9529412450966,811.9529412450966,True,True,False,{},[],related_customer_removal,cascade_repair,11,Related + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,998.5007498750001,0,True,-0.3336663198606402,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,138.42443735901043,79.42443735901043,59.0,345.302074301847,7.302074301846978,338.0,84.05514486230004,90.77078555315477,140.42450580474957,18.928140527972854,1,1,1,1,2,5,187.71863353507672,187.71863353507672,0.0,811.9529412450966,112.98261425010364,176.55769454435918,0.0,0.0,True,True,[]
5,811.9529412450966,110813.83033280514,811.9529412450966,False,False,False,{},[],greedy_removal,best_mode_repair,4,Greedy + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,998.0014995000627,1,False,110001.87739156005,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,138.42443735901043,79.42443735901043,59.0,347.17946586189134,9.17946586189133,338.0,84.05514486230004,90.77078555315477,176.52818965175635,23.296686273460676,1,1,1,1,2,5,3213.2177920500894,3213.2177920500894,110000.0,110813.83033280514,2504.928122893203,2451.191864844724,0.0,9.0,True,False,"['customer 12 service_start 2578.469 exceeds latest 360.000.', 'customer 13 service_start 2612.022 exceeds latest 360.000.', 'customer 8 service_start 2629.963 exceeds latest 360.000.', 'customer 6 service_start 2634.258 exceeds latest 360.000.', 'timing fixed-point did not converge within 26 iterations.', 'van_0 departs position 2 before recovery_time 2643.214.', 'van_0 position 3 arrival 2578.469 is before propagated recovery arrival 2668.702.', 'van_0 departs position 3 before recovery_time 2618.498.', 'van_0 position 4 arrival 2588.578 is before propagated recovery arrival 2628.608.', 'drone_id drone_1 launch_position 1 is before previous recovery_position 3.', 'drone_id drone_1 launch_position 2 is before previous recovery_position 3.']"
6,811.9529412450966,170810.19574380183,811.9529412450966,False,False,False,{},[],related_customer_removal,best_mode_repair,8,Related + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,997.5024987503127,2,False,169998.24280255672,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,133.05415796549204,74.05415796549204,59.0,348.91515625208797,10.915156252087959,338.0,84.05514486230004,84.63332338913376,209.90685100169154,25.52212448107942,1,1,1,1,2,6,3302.842042625466,3302.842042625466,170000.0,170810.19574380183,2650.891474543454,2443.466431819733,0.0,16.0,True,False,"['customer 5 service_start 2575.584 exceeds latest 360.000.', 'customer 9 service_start 2592.951 exceeds latest 360.000.', 'customer 11 service_start 2588.929 exceeds latest 360.000.', 'customer 14 service_start 2597.583 exceeds latest 360.000.', 'customer 8 service_start 2621.783 exceeds latest 360.000.', 'customer 6 service_start 2626.078 exceeds latest 360.000.', 'customer 12 service_start 2647.778 exceeds latest 360.000.', 'timing fixed-point did not converge within 26 iterations.', 'van_0 departs position 2 before recovery_time 2604.176.', 'van_0 position 3 arrival 2601.976 is before propagated recovery arrival 2630.568.', 'van_0 departs position 2 before recovery_time 2635.034.', 'van_0 position 3 arrival 2601.976 is before propagated recovery arrival 2661.426.', 'van_0 departs position 1 before recovery_time 2610.319.', 'van_0 position 2 arrival 2575.584 is before propagated recovery arrival 2666.687.', 'van_0 departs position 2 before recovery_time 2660.523.', 'van_0 position 3 arrival 2601.976 is before propagated recovery arrival 2686.914.', 'drone_id drone_1 launch_position 1 is before previous recovery_position 2.']"
7,811.9529412450966,811.9529412450966,811.9529412450966,True,True,False,{},[],related_customer_removal,cascade_repair,11,Related + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,997.0037475009376,3,False,0.0,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,138.42443735901043,79.42443735901043,59.0,345.302074301847,7.302074301846978,338.0,84.05514486230004,90.77078555315477,140.42450580474957,18.928140527972854,1,1,1,1,2,5,187.71863353507672,187.71863353507672,0.0,811.9529412450966,112.98261425010364,176.55769454435918,0.0,0.0,True,True,[]
8,830.4489333949082,830.4489333949082,811.9529412450966,True,True,False,{},[],cascade_aware_removal,cascade_repair,15,Cascade + Cascade,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,996.5052456271872,4,False,18.495992149811627,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,159.2694142601438,100.2694142601438,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,114.59361629730721,95.25172212548792,14.733829347140814,1,1,1,1,2,3,46.316149883518555,46.316149883518555,0.0,830.4489333949082,71.43879159411603,0.0,0.0,0.0,True,True,[]
9,830.4489333949082,830.4489333949082,811.9529412450966,True,True,False,{},[],random_customer_removal,best_mode_repair,0,Random + Global,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,996.0069930043736,5,False,0.0,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,159.2694142601438,100.2694142601438,59.0,342.95308955052536,4.953089550525371,338.0,84.05514486230004,114.59361629730721,95.25172212548792,14.080429414216058,1,1,1,1,2,3,46.31614988351852,46.31614988351852,0.0,830.4489333949082,71.43879159411597,0.0,0.0,0.0,True,True,[]
10,830.4489333949082,200844.07928184746,811.9529412450966,False,False,False,{},[],cascade_aware_removal,greedy_van_repair,13,Cascade + Local,paper_mode,08a24ddd74d3d05577f7673df93d8f302b78f3f65d806c91d19e5a67c55d71a1,995.5089895078714,6,False,200013.63034845254,328.2264295842391,162.22642958423907,166.0,162.22642958423907,0.0,171.0102158283557,112.01021582835571,59.0,344.8426364348548,6.842636434854787,338.0,84.05514486230004,128.01167523240653,131.5891622087459,12.17907983977967,1,1,1,1,2,4,4485.226463501841,4485.226463501841,200000.0,200844.07928184746,6776.030804913212,142.05628532099126,0.0,17.0,True,False,"['customer 13 service_start 6664.656 exceeds latest 360.000.', 'customer 5 service_start 6693.169 exceeds latest 360.000.', 'customer 6 service_start 6711.081 exceeds latest 360.000.', 'customer 7 service_start 6763.695 exceeds latest 360.000.', 'customer 9 service_start 6798.430 exceeds latest 360.000.', 'customer 12 service_start 6823.540 exceeds latest 360.000.', 'customer 8 service_start 6660.387 exceeds latest 360.000.', 'customer 14 service_start 6713.468 exceeds latest 360.000.', 'customer 10 service_start 6772.761 exceeds latest 360.000.', 'customer 11 service_start 6841.971 exceeds latest 360.000.', 'timing fixed-point did not converge within 30 iterations.', 'van_0 departs position 4 before recovery_time 6781.826.', 'van_0 position 5 arrival 6798.430 is before propagated recovery arrival 6816.561.', 'van_0 departs position 0 before recovery_time 6859.474.', 'van_0 position 1 arrival 6664.656 is before propagated recovery arrival 6882.499.', 'van_0 departs position 3 before recovery_time 6715.855.', 'van_0 position 4 arrival 6763.695 is before propagated recovery arrival 6768.470.', ""drone recovery occurs before launch on van_route: {'launch': 7, 'customers': [11], 'recovery': 3, 'launch_time': 6823.539704742422, 'recovery_time': 6859.474466555807, 'van_waiting_time': 6753.125402866849, 'drone_waiting_time': 0.0, 'same_node': False, 'drone_id': 'drone_1', 'launch_van_id': 'van_0', 'recovery_van_id': 'van_0', 'launch_position': 4, 'recovery_position': 0, 'drone_arrival_time': 6859.474466555807, 'synchronized_recovery_time': 6859.474466555807}"", 'drone_id drone_1 has launch_position 4 after recovery_position 0.', 'drone_id drone_1 launch_position 4 is before previous recovery_position 6.']"
