phase,calls,inclusive_seconds,exclusive_seconds,basis
clean_regret_wall,1,120.61275200010277,120.61275200010277,clean
instrumented_regret_wall,1,124.14360619988292,124.14360619988292,observer
candidate_generation,54,16.431495199445635,6.177277111215517,observer; includes prefilter
hard_prefilter,32718,10.254218088230118,10.254218088230118,nested in generation
State.copy,17786,23.877472810214385,23.877472810214385,observer
candidate_application,17743,0.1784220791887492,0.1784220791887492,observer
compute_timing,35496,53.27377579919994,45.25874001113698,clean count; observer time
objective,17784,81.76828336156905,11.461532037705183,clean count; observer time
checker,17792,40.68832091381773,12.018855303525925,clean count; observer time
identity_signature,106601,13.392031902913004,13.392031902913004,nested traversals
sorting_selection,17743,0.3138597020879388,0.1151285890955478,upper attribution
selected_commit,6,5.1800161600112915e-05,5.1800161600112915e-05,observer
